"ano","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","sigla_da_uf","no_de_cursos_com_cpc_no_trienio","alfa_.proporcao_de_graduacao.","conceito_medio_de_graduacao","beta_.proporcao_de_mestrado_equivalente.","conceito_medio_de_mestrado","gama_.proporcao_de_doutorandos_._equivalente.","conceito_medio_do_doutorado","igc_.continuo.","igc_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2021",2175,"CENTRO UNIVERSITÁRIO DANTE","UNIDANTE","Centro Universitário","Privada com fins lucrativos","SC",15,1,2.923,0,0,0,0,2.923,"3","-"
"2021",2324,"FACULDADE ANHANGUERA DE SÃO JOSÉ - SC","FASJ - SC","Faculdade","Privada com fins lucrativos","SC",7,1,1.88,0,0,0,0,1.88,"2","-"
"2021",2369,"INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO","INESA","Faculdade","Privada com fins lucrativos","SC",2,1,2.595,0,0,0,0,2.595,"3","-"
"2021",2462,"FACULDADE SÃO LUÍS","FSL","Faculdade","Privada sem fins lucrativos","SC",2,1,3.327,0,0,0,0,3.327,"4","X"
"2021",2755,"FACULDADE DO VALE DO ITAJAÍ MIRIM","FAVIM","Faculdade","Privada com fins lucrativos","SC",10,1,2.727,0,0,0,0,2.727,"3","-"
"2021",2766,"FACULDADE EMPRESARIAL DE CHAPECÓ","FAEM","Faculdade","Privada com fins lucrativos","SC",8,1,2.255,0,0,0,0,2.255,"3","-"
"2021",2896,"CENTRO UNIVERSITÁRIO SATC","UNIATC","Centro Universitário","Privada sem fins lucrativos","SC",7,0.986,2.517,0.013,4,0,0,2.537,"3","X"
"2021",2903,"FACULDADE CONCÓRDIA","FACC","Faculdade","Privada com fins lucrativos","SC",5,1,1.921,0,0,0,0,1.921,"2","-"
"2021",3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","UNOCHAPECÓ","Universidade","Privada sem fins lucrativos","SC",39,0.908,2.781,0.069,4.327,0.022,4.5,2.926,"3","X"
"2021",3155,"FACULDADE DE TECNOLOGIA SENAI JARAGUÁ DO SUL","FATEC","Faculdade","Privada sem fins lucrativos","SC",1,1,2.687,0,0,0,0,2.687,"3","-"
