ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),(observacao),entidade_beneficiente_de_assistencia_social_(cebas)
2022,2336,CENTRO UNIVERSITÁRIO BRASÍLIA DO ESTADO DE GOIÁS,0,Centro Universitário,Privada com fins lucrativos,GO,13,1.0,2.224335014,,,,,2.224335014,3,2,-
2022,2343,Centro Universitário U:VERSE,FAAO,Centro Universitário,Privada com fins lucrativos,AC,6,1.0,2.289795362,,,,,2.289795362,3,2,-
2022,2350,ESCOLA SUPERIOR MADRE CELESTE,ESMAC,Faculdade,Privada com fins lucrativos,PA,6,1.0,2.552273896,,,,,2.552273896,3,2,-
2022,2351,FACULDADE ESPÍRITO SANTENSE DE CIÊNCIAS JURÍDICAS,PIO XII - DIR,Faculdade,Privada sem fins lucrativos,ES,1,1.0,2.9228,0.0,0.0,0.0,0.0,2.9228,3,1,-
2022,2355,FACULDADE ANHANGUERA DE MATÃO,0,Faculdade,Privada com fins lucrativos,SP,3,1.0,1.765968713,,,,,1.765968713,2,2,-
2022,2361,FACULDADE PADRÃO,-,Faculdade,Privada com fins lucrativos,GO,0,,0.0,0.0,0.0,0.0,0.0,,SC,2,-
2022,2365,CENTRO UNIVERSITÁRIO CATÓLICA DO TOCANTINS,UNICATÓLICA,Centro Universitário,Privada sem fins lucrativos,TO,11,1.0,3.0058,0.0,0.0,0.0,0.0,3.0058,4,1,X
2022,2368,FACULDADE SÃO LEOPOLDO MANDIC,0,Faculdade,Privada com fins lucrativos,SP,2,0.3045,3.3097,0.5374,4.5,0.1581,5.0,4.2167,5,1,-
2022,2369,INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO,INESA,Faculdade,Privada com fins lucrativos,SC,3,1.0,2.9195,0.0,0.0,0.0,0.0,2.9195,3,1,-
2022,2380,Faculdade Estácio do Amapá - Estácio Amapá,ESTÁCIO AMAPÁ,Faculdade,Privada com fins lucrativos,AP,7,1.0,2.4827,0.0,0.0,0.0,0.0,2.4827,3,1,-
2022,2383,FACULDADE MERIDIONAL,IMED,Faculdade,Privada com fins lucrativos,RS,8,0.808474576,3.222950786,0.191525424,4.460884354,,,3.460046537,4,2,-
